Fish_ID,Year,Date,Species,TL_mm,Mass_g,Diet_Mass_g,GutFullness,Sex,Liver_Mass_g,Gonad_Mass_g,Heart_Mass_g,prey_Amphipod,prey_Gammaracanthus.sp.,prey_Krill,prey_Fish,prey_Gammarus.sp.,prey_Copepod,prey_Onisimus.sp.,prey_Sand.lance,prey_Arctic.cod,prey_Digested,prey_Mysid,prey_Sea.Angel,prey_Jellyfish,prey_Algae,prey_Chironomid,prey_Undigestible,prey_Miscellaneous.Invert,prey_Themisto.sp.,prey_Miscellaneous
FH315,2017,9/3/17,Fourhorn,18.2,64.6,NA,5,F,1.6,0.9,NA,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FH6,2017,7/23/17,Fourhorn,22,93,NA,5,M,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FH7,2017,7/23/17,Fourhorn,19,69,NA,5,F,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FH78,2017,8/2/17,Fourhorn,23.3,114.4,NA,2,F,5.7,3.6,NA,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
FH79,2017,8/2/17,Fourhorn,24,84.8,NA,3,F,3.4,3,NA,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
FH8,2017,7/23/17,Fourhorn,16.5,43,NA,4,M,NA,NA,NA,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FH80,2017,8/2/17,Fourhorn,17.9,27.9,NA,2,M,0.6,0.1,NA,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FH81,2017,8/2/17,Fourhorn,18.8,33.7,NA,3,M,0.6,1.4,NA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FH82,2017,8/3/17,Fourhorn,29,277.2,NA,3,F,17.3,23,NA,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
FH83,2017,8/3/17,Fourhorn,26.5,184,NA,3,F,10,12.2,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FH84,2017,8/3/17,Fourhorn,25.5,155.2,NA,2,M,3.5,8.5,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FH85,2017,8/3/17,Fourhorn,21,76.9,NA,3,M,2.4,2.7,NA,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FH86,2017,8/3/17,Fourhorn,22,84.8,NA,2,M,2.4,2.4,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FH87,2017,8/3/17,Fourhorn,14.5,23,NA,2,M,0.5,0.7,NA,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FH88,2017,8/3/17,Fourhorn,14.5,24.6,NA,2,M,0.7,0.3,NA,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
FH93,2017,8/5/17,Fourhorn,9.4,5.9,NA,3,NA,0.2,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S1,2017,7/24/17,Slimy,14.2,42.4,NA,5,M,1.4,0.5,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S12,2017,7/26/17,Slimy,15.2,52.1,NA,3,M,2,1.1,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S13,2017,7/26/17,Slimy,16,59.2,NA,4,F,2.7,1.9,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S2,2017,7/24/17,Slimy,13.2,33.3,NA,4,F,1.4,0.5,NA,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
S22,2017,8/2/17,Slimy,14,18.3,NA,4,F,0.6,0.3,NA,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
S23,2017,8/2/17,Slimy,11.4,6.7,NA,3,M,0.3,NA,NA,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
S24,2017,8/3/17,Slimy,17.7,69.7,NA,3,F,3.5,2.3,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
S25,2017,8/3/17,Slimy,17.7,73.7,NA,4,F,3.8,3.7,NA,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S26,2017,8/3/17,Slimy,16,59.7,NA,1,F,3.3,1.9,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S27,2017,8/3/17,Slimy,17.7,80,NA,3,F,3.6,3.1,NA,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
S28,2017,8/3/17,Slimy,18,73.4,NA,3,F,3,3.8,NA,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
S29,2017,8/3/17,Slimy,17.6,72.2,NA,4,F,3.5,2.2,NA,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
S3,2017,7/24/17,Slimy,4.2,0.8,NA,3,I,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
