"Fish_ID","Year","Date","Content","Category","Count","Mass","Species","TL_mm","Mass_g","Sex","Diet_Mass_g","GutFullness","Liver_Mass_g","Gonad_Mass_g","Heart_Mass_g"
"FH28",2017,2017-07-26,"krill","Krill",1,NA,"Fourhorn",25.4,175,"F",NA,3,9.5,9.6,NA
"FH28",2017,2017-07-26,"gammaracanthus sp.","Gammaracanthus sp.",3,NA,"Fourhorn",25.4,175,"F",NA,3,9.5,9.6,NA
"FH315",2017,2017-09-03,"krills","Krill",400,NA,"Fourhorn",18.2,64.6,"F",NA,5,1.6,0.9,NA
"FH315",2017,2017-09-03,"fish frye","Fish",1,NA,"Fourhorn",18.2,64.6,"F",NA,5,1.6,0.9,NA
"FH315",2017,2017-09-03,"amphipods","Amphipod",2,NA,"Fourhorn",18.2,64.6,"F",NA,5,1.6,0.9,NA
"FH6",2017,2017-07-23,"gammarus or onisimus","Amphipod",NA,NA,"Fourhorn",22,93,"M",NA,5,NA,NA,NA
"FH7",2017,2017-07-23,"gammarus or onisimus","Amphipod",NA,NA,"Fourhorn",19,69,"F",NA,5,NA,NA,NA
"FH7",2017,2017-07-23,"eusirus or apherusa","Amphipod",NA,NA,"Fourhorn",19,69,"F",NA,5,NA,NA,NA
"FH78",2017,2017-08-02,"krill","Krill",2,NA,"Fourhorn",23.3,114.4,"F",NA,2,5.7,3.6,NA
"FH78",2017,2017-08-02,"gammarus or onisimus","Amphipod",3,NA,"Fourhorn",23.3,114.4,"F",NA,2,5.7,3.6,NA
"FH78",2017,2017-08-02,"large chironomid larvae","Chironomid",3,NA,"Fourhorn",23.3,114.4,"F",NA,2,5.7,3.6,NA
"FH79",2017,2017-08-02,"gammarus or onisimus","Amphipod",11,NA,"Fourhorn",24,84.8,"F",NA,3,3.4,3,NA
"FH79",2017,2017-08-02,"krill","Krill",10,NA,"Fourhorn",24,84.8,"F",NA,3,3.4,3,NA
"FH79",2017,2017-08-02,"large chironomid larvae","Chironomid",1,NA,"Fourhorn",24,84.8,"F",NA,3,3.4,3,NA
"FH8",2017,2017-07-23,"gammarus or onisimus","Amphipod",NA,NA,"Fourhorn",16.5,43,"M",NA,4,NA,NA,NA
"FH8",2017,2017-07-23,"digested","Digested",NA,NA,"Fourhorn",16.5,43,"M",NA,4,NA,NA,NA
"FH80",2017,2017-08-02,"amphipods","Amphipod",NA,NA,"Fourhorn",17.9,27.9,"M",NA,2,0.6,0.1,NA
"FH80",2017,2017-08-02,"grit","Digested",NA,NA,"Fourhorn",17.9,27.9,"M",NA,2,0.6,0.1,NA
"FH81",2017,2017-08-02,"krill","Krill",37,NA,"Fourhorn",18.8,33.7,"M",NA,3,0.6,1.4,NA
"FH82",2017,2017-08-03,"jellyfish","Fish",6,NA,"Fourhorn",29,277.2,"F",NA,3,17.3,23,NA
"FH82",2017,2017-08-03,"gammarus or onisimus","Amphipod",42,NA,"Fourhorn",29,277.2,"F",NA,3,17.3,23,NA
"FH83",2017,2017-08-03,"amphipod","Amphipod",NA,NA,"Fourhorn",26.5,184,"F",NA,3,10,12.2,NA
"FH84",2017,2017-08-03,"amphipod","Amphipod",3,NA,"Fourhorn",25.5,155.2,"M",NA,2,3.5,8.5,NA
"FH85",2017,2017-08-03,"krill","Krill",1,NA,"Fourhorn",21,76.9,"M",NA,3,2.4,2.7,NA
"FH85",2017,2017-08-03,"amphipod","Amphipod",13,NA,"Fourhorn",21,76.9,"M",NA,3,2.4,2.7,NA
"FH86",2017,2017-08-03,"amphipod","Amphipod",5,NA,"Fourhorn",22,84.8,"M",NA,2,2.4,2.4,NA
"FH87",2017,2017-08-03,"krill","Krill",1,NA,"Fourhorn",14.5,23,"M",NA,2,0.5,0.7,NA
"FH87",2017,2017-08-03,"amphipod","Amphipod",2,NA,"Fourhorn",14.5,23,"M",NA,2,0.5,0.7,NA
"FH88",2017,2017-08-03,"krill","Krill",1,NA,"Fourhorn",14.5,24.6,"M",NA,2,0.7,0.3,NA
"FH88",2017,2017-08-03,"gammarus or onisimus","Amphipod",2,NA,"Fourhorn",14.5,24.6,"M",NA,2,0.7,0.3,NA
"FH88",2017,2017-08-03,"parasites","Undigestible",NA,NA,"Fourhorn",14.5,24.6,"M",NA,2,0.7,0.3,NA
"FH9",2017,2017-07-23,"too small","Empty",NA,NA,"Fourhorn",6.2,14,"I",NA,1,NA,NA,NA
"FH93",2017,2017-08-05,"gammarus or onisimus","Amphipod",1,NA,"Fourhorn",9.4,5.9,NA,NA,3,0.2,NA,NA
